level_id,x,y,width,height
1,0,64,640,64
1,180,128,160,32
1,400,192,128,32
1,620,256,160,32
1,880,192,128,32
1,1100,256,192,32
1,1400,192,128,32
1,1680,128,160,32
1,1960,192,128,32
1,2200,256,200,32
2,0,64,640,64
2,200,160,128,32
2,420,224,160,32
2,680,160,128,32
2,920,288,192,32
2,1200,224,128,32
2,1480,160,160,32
2,1760,288,128,32
2,2040,224,192,32
2,2320,160,128,32
2,2600,288,160,32
2,2880,224,128,32
3,0,64,640,64
3,160,192,128,32
3,360,256,160,32
3,580,192,128,32
3,800,320,192,32
3,1080,256,128,32
3,1320,192,160,32
3,1580,320,128,32
3,1820,256,192,32
3,2100,192,128,32
3,2340,320,160,32
3,2600,256,128,32
3,2840,192,192,32
3,3120,256,128,32
3,3400,320,160,32
